33	2.102497	183
35	2.285379	260
36	2.285555	209
37	2.470364	1188
38	2.471082	243
39	2.704964	480
40	2.705478	273
41	2.943144	480
50	2.943878	230
57	3.128492	66
58	3.128536	413
59	3.129301	398
60	3.129302	67
61	3.129304	1442
62	3.129306	1442
63	3.129307	1442
64	3.129308	1442
65	3.129310	1442
66	3.129789	1442
67	3.130797	1442
68	3.130798	537
69	3.130800	1439
70	3.130802	67
71	3.131289	1442
73	3.131789	1442
74	3.131792	1442
75	3.132290	1442
76	3.132788	1442
77	3.132790	238
78	3.133791	488
81	3.194337	66
82	3.194476	437
83	3.195485	1442
84	3.195731	1442
85	3.195860	1442
86	3.196248	1442
87	3.196760	1442
88	3.196763	408
89	3.197264	1442
90	3.197265	389
91	3.197746	1442
92	3.197999	1098
93	3.254614	66
94	3.255009	1442
95	3.255494	1442
96	3.255984	1442
97	3.256270	1442
98	3.256687	1442
99	3.257178	1442
100	3.257296	425
101	3.257610	438
102	3.257805	1442
103	3.257927	851
104	3.257930	66
105	3.258437	1442
106	3.258926	1442
107	3.259193	1442
108	3.259454	410
109	3.259717	1442
110	3.260186	1442
111	3.260676	1442
112	3.260944	1442
113	3.261434	1442
114	3.261700	1442
115	3.261903	154
116	3.262309	1442
117	3.318242	66
118	3.318536	385
119	3.318931	1442
120	3.319198	1442
121	3.319689	1442
122	3.319955	1442
123	3.320445	1442
124	3.320936	1442
125	3.321203	1442
126	3.321693	1442
127	3.322185	1442
128	3.322187	454
129	3.322487	389
130	3.322806	383
131	3.376207	66
132	3.376941	1442
133	3.377202	1442
134	3.377695	1442
135	3.378182	1442
136	3.378449	1442
137	3.378962	1442
138	3.379430	1442
139	3.379697	1442
140	3.380045	389
141	3.380352	1442
142	3.380492	711
143	3.380494	66
144	3.380713	382
145	3.380949	1442
146	3.381439	1442
147	3.381929	1442
148	3.382196	1442
149	3.382686	1442
150	3.382953	1442
151	3.383240	396
152	3.383680	1442
153	3.383946	1442
154	3.384436	1442
155	3.384703	1442
156	3.384906	173
157	3.446971	66
158	3.447314	387
159	3.447440	1442
160	3.447938	1442
161	3.448428	1442
162	3.448701	1442
163	3.449185	1442
164	3.449675	1442
165	3.449942	1442
166	3.450434	1442
167	3.450435	87
168	3.450926	1442
169	3.451050	392
170	3.451051	390
171	3.502728	66
172	3.503481	1442
173	3.503698	1442
174	3.504187	1442
175	3.504454	1442
176	3.504944	1442
177	3.505435	1442
178	3.505702	1442
179	3.506191	1442
180	3.506682	1442
181	3.506949	1442
182	3.507158	231
183	3.507159	66
184	3.507470	1442
185	3.507813	392
186	3.507934	381
187	3.508188	1442
188	3.508454	1442
189	3.508944	1442
190	3.509206	381
191	3.509455	1442
192	3.509937	1442
193	3.510203	1442
194	3.510678	981
195	3.580705	66
196	3.581033	383
197	3.581432	1442
198	3.581699	1442
199	3.582189	1442
200	3.582680	1442
201	3.582946	1442
202	3.583436	1442
203	3.583928	1442
204	3.584194	1442
205	3.584683	1442
206	3.584803	389
207	3.585187	1442
208	3.585677	1442
209	3.585679	78
210	3.585826	386
211	3.586184	1442
212	3.586186	66
213	3.586493	1442
214	3.586944	1442
215	3.587432	1442
216	3.587698	1442
217	3.588188	1442
218	3.588948	1442
219	3.589209	1442
220	3.589683	1397
221	3.641616	397
222	3.642188	66
223	3.642189	391
224	3.642190	1442
225	3.642701	1442
226	3.642948	1442
227	3.643438	1442
228	3.643928	1442
229	3.644195	1442
230	3.644685	1442
231	3.644819	396
232	3.645188	1442
